Provider,Services,Pricing Options,Description,Quantity,Compute,Container,Database,Serverless,Link
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,
,,,,,FALSE,FALSE,FALSE,FALSE,